Contents	Opinion
QT @_kissmycass: We destroyed the planet with cigs and now we’re going to do it with juuls? Y’all are trash ; Idk who needs to hear this but... STOP THROWING YOUR EMPTY JUUL PODS ON THE FLOOR It is littering. They are thick hard plastic w chemicals and are the perfect size for animals to eat	-1
All she do is smoke hookah 😩😩	0
You ever hit the hookah so hard you choke	0
i need mcdonald’s and garlic bread and juul pods fuck	0
Vaping outside the Olive Garden like true American white trash	0
@SwaggerSouls Swags your gonna died with the next 2 weeks an kill everyone in that house for your juul In other words.. You fucking weak cunt give up now before its too late	-1
I’m going to ask again do people inhale hookah?	0
@TimRunsHisMouth And harbor criminals, legalize marijuana and hand out hypodermic needles but don’t you dare Juul.	1
Imagine being an adult using a juul to quit smoking, and you really like mango pods, but a bunch of nicotine addicted 16 year old got your shit taken.	1
QT @CoachCookCHS: #Preach. ; It blows my mind the amount of young student athletes that are vaping. That stuff ruins an athlete’s hard work. It destroys their stamina. Athletes, you do it because it’s cool? You know what else is cool? Being able to play 4 quarters of a game and lead your team to a win.	-1
@PKBohan Coffee and my vape	0
QT @CAVBERNAH: 🤣🤣🤣🤣🤣 ; Y’all not tired of blowing hookah smoke into your phone via snap!? Jeez I’m tiiiiiiide of seeing it	-1
I’ve been cleaning/doing chores, listening to music all day and keep taking breaks to tweet and vape my cbd lmaooo	0
can i hit someone’s juul	0
@twentyfourzz I bought a juul charger today ($10.95)	0
@AW_YouMad Cuz I can’t do the hookah fr	0
“Does anyone have a fucking juul?’” @THEnolanhenly Also “bust down thotiana” in the stockyards @Carson_Reed10	0
@VapinSquirrel @jsummers71 #vape #vapingsaveslives #vapefam Well put Ivanna 👈👏👏	1
@glorianna21 Not anymore :/ now it’s bubba vape	0
@kittypurrzog I think the headline should be "SF becomes the first US city to create a e-cig black market"	0
I need to be completely naked , stomach on E , and sleep for like 6 hours straight and then wake up to being held and cuddled. And then make some lasagna or Meatballs. A little vape 💨 wouldn’t be bad either lmfao .	0
QT @SwiftOnSecurity: i was *not* on this call.... ; On a 40-person call and it sounded like someone forgot mute and took a monster bong hit. We’ll just go with hookah enthusiast...	0
if i had all the money back that i’ve spent on juul pods i’d be papered up 😶	0
@thisisbrookeb we’re literally vape hot boxing your car	0
For every gift giving holiday I get asked if I’d like Juul Pods.. is this a problem?!	0
@lilfryh Didn’t say mango juul pods	0
@TweetsbyMontyy Hookah smoke	0
If you juul, I will think lesser of you and make no apologies	-1
*charges my vape pen in the school library computers*	0
They should replace Chuck Todd on Meet the Press with a sweating mason jar of hot dog-flavored vape juice	0
I brought a vape today. It was the most impulsive of impulse buys	0
Real friends let you borrow their juul charger @sav_hartmann	0
@yessiebabyyy Juul’s are horrible, go to a vape shop and get a real mod	1
Ion smoke vapes that aint come from a dispensary	0
Ooooo them post shower juul rips, shit hits diffffferentttt	0
i’m in naperville with no juul charger .. who got me /:	0
@antihannaszn Them shits r like craxk tho fr they hit better than most Vapes	1
Finally 21‼️🔥🤯 Now I can finally go to a Queens hookah lounge 🌶🙇🏽‍♂️ I hope it’s fun 😳🙏🏽	0
Just so everyones up to date, my juul fell 38 floors and still works	1
had juul and a bang for breakfast 🤪✌🏼	1
me a year ago: we GET IT you VAPE me now: *buys a vape pen*	1
Today I bought juul pods good big	0
In Canada they call creme brulee juul pods just "vanilla." Truly the land time forgot.	0
my friend told me they were going to buy me a juul for my birthday😳	0
Im wylin if I propose to the school that I want to do a presentation about Hookah Negligence ?	-1
@johnaarellano I found your juul	0
QT @donnicholass: 🗣🗣🗣🗣🗣 ; • DAY PARTY AT ZONA • NO COVER | $100 REG BOTTLES | $15 HOOKAH | $5 REFILLS | OUTSIDE PATIO | KITCHEN AVAILABLE ALL DAY! FMI CONTACT ME! Sounds by @DJDymand x @Deeejaybebo 🙌🏾	0
@JenaLuckman Probably have all the juul pods but no chargers... it is hell after all	0
No one: Me holding out a vape pen: Moon prism power, make up! 💖🌙✨	0
hey guys whats a way to stop cravings instead of using juul	0
@afairyhoe Legit just switch to the gum or a vape already. Why? Because it's healthier. Your literally sucking up tar smoke ontop of what your body is craving.	1
Anyone need some vape juice? I got a Fizzy Lemonade that I only used once. Not a big fan of it. 50 mg for $20.	0
me: *doesn’t eat a meal until 5pm* also me: *chain smokes juul and black iced coffees* also also me: *is slut* also also also me: “why do i keep getting sick??”	0
Why can’t I ping my JUUL	0
Wash your hands before touching your face and drink plenty of water. And lay off that hookah	-1
I just got ID’d for a juul charger like ?? Make sure I’m 18 years old so I can buy a charger plz	0
@DrThomasWhite @Mathews_Archery Glad you clarified what that pipe was. Originally thought you accidentaly left your vape stick in the picture 😂	0
QT @Mhern23: Why are you me lmao ; My phone feels so much skinnier without my juul holder.	0
can someone explain what hookah is for me	0
50% off hookah @ Adolfo’s tonight word around town	0
@XanderSX14 “They be smacking tho” DANK VAPES (Fuck that foo juice) fucken dollar tree as beaners lmao	0
So it is now illegal to vape in San Francisco. It's still 100% legal to shit on the street in San Francisco though.	1
It’s funny cause the predominantly black high schools in Staten Island have metal detectors and all that cause they’re “dangerous” meanwhile my cousin is 12 in a “good” public school and there’s a white boy in his class that’s been trying to sell him juul pods. 12 YEARS OLD.	-1
im finna buy a hookah	0
@thedrunkpenguin I know a few that have quit using vaping they say the trick is to reduce the nicotine over time. I just never really enjoyed it that much, could never seem to find one that replicated actual cigarettes.	-1
Nigga said “the port taste better that the hookah “ 😭😭😭	0
Your mcm thinks Juul is a beautiful baby name for his next daughter	0
Still can’t believe my grandma threwmy vape away😂	0
@bad_bitchski I honestly love my juul. The thought of having a cig now makes me feel gross	1
QT @KaylaaaasWorld: It made sense 😂💀 ; @teyanapryor_ : I think I need to stand up, so the hookah can flow this way *points from head to toe* 😂😭	0
QT @oxymme: Omggg I felt this ; ima still smoke the hookah if it’s not mint, I’m just gonna say “you should’ve got mint” the whole time	0
PSA YET AGAIN ON THE CARTS. Not only are the DANK VAPES being copied but now KING PENS are too! Know wtf you are buying and be safe ❤️	0
Anyone at #Bugcon2019 have a vape pen charger?! @bugmanetv	0
@axios It's all those damn vapes and juuls. LOL	0
Just got my suegra to try my vape. She doesn’t know it but she’s about to get plastered.	0
some 6’5” dude with a juul and a glass of beer is standing next to me and i’m already annoyed. he’s come so close to elbowing my face	0
talkin bout ‘iLl nEvEr sMoKe a CiG’ but use a juul. whole ass FOOL 🤣	-1
@idkimemotional Wow me too coffee and vape lol	0
Where can I get a dope hookah Machine ?	0
this guy just snapped me a video of dank vapes saying “let me take you on a date and i’ll give you a cart” LOL “pesticides and dinner? 🙈”	-1
WOW! I just found out about juul! 🤣🤣	1
@chelseacomics You could always try vaping? I know they make pure CBD oil for that stuff, so you’d cut down on additives. I know it’s got a douche bag rep, but honestly vaping product helps me a lot.	1
Wasn't paying attention while filling my top-fill vape tank and squirted an entire tanks worth of juice down the chimney.	0
My vape isn’t charging and my juul is out. What ever did I do to deserve this shit	0
If you see me vaping it's for a solid cause, I'm trying hard to completely eliminate cigars cigarettes and tobacco out of my life. I hate vape but it's honestly better for me than the 4 blacks I'd smoke a day.	1
my little brother: you know what my favorite thing about this place is, we’re the only two people without a vape or a crop top here, except you	0
I hope y’all know that smoking hookah for even an hour is the equivalent to smoking 100+ cigarettes, but keep flexing for social media 😂	-1
Having no juul pods makes me deceased	1
@thattxkid @cheatham_cody “stormy do your have your juul on you?” “can i hit your juul?” 💀💀💀💀💀	0
I need a JuuL pod. Just one single pod.	0
Hookah on the balcony	0
juul pods are 21 dollars in Tampa they’re 17 in Cleveland this is sum bullshit	0
QT @BigCripnAce: Felt this ; we need more weed friendly bars i’m tryna smoke Tooka not no Hookah	0
smoking juul at work cuz ima baaaddd person	0
All this talk about banning Juul while cigarettes are still legal😷	1
If u wanna become the next millionaire plz make a find my juul app throw me like 20% cause i gave u the idea	0
i FT my mom and we both doing the same thing.. she was smoking a cig 🤢 ( me hookah ) and sippin	0
It works good but I hate that it doesn’t match 🙄 I swear I’m never letting anyone borrow my vape again	0
i cannot go anywhere without losing my juul	0
Yo real quick does anyone know if my FitBit can track juul rips?	0
My kid is eleven. At his dad's house, he has had weed laced chocolate chips, and he's been vaping.. my ex is such a fucking tool. He thinks I'm the fucking dead beat when he can't even pay a-fucking-ttention! I'll take legal steps if it doesn't stop 😡	-1
@ManguPena And a hookah installed with a long as hose and and bucket full of ice with henny	0
@MakinnPlays Well I mean it is a vape pen just with thc oil so it’s like any other vape that can cause respiratory issues.... but I need more research on “marijuana overdose” is what I’m saying lmao	-1
QT @scottbudman: This is great and all but like... regular tobacco still kills people and has been around for muuuuch longer. And real talk, still got addicted to that without fruit loops flavoring 🤷🏼‍♀️ ; The first major city in the country to ban the sale of electronic cigarettes, San Francisco, is the home of Juul. SF also recently approved a ban on the sale of flavored tobacco and a tax on sugar-sweetened drinks.	1
@sadsagsun Nicotine at least in their posts. I don’t like the idea of tobacco or vape (or even alcohol) companies advertising AT ALL. But I know that’s unrealistic and just my own opinion and can’t really be enforced	-1
@kahlia_miller I lose my juul literally like every day	0
I’ve had the same juul pod for two days you can tell @Crow_boi hasn’t been around much 🤷🏼‍♀️😂	0
So I took my blazer off. The Mom that claims to of worked w #JasonBateman asks me what I had for dinner. I said some zucchini & a sliver of lemon cake 🍰 The rest was meat based I believe. Idk 😐 But I may be the only one on set that misses my vape 💨😁🎥	0
QT @rustygunter: 😆 ; Guys that vape, do y’all shave your pussy completely or leave a landing strip?	0
@BriannaMonetB What kind of hookah Hoe are you 🤦🏻‍♀️	0
@BearlyFit @MercanthonyTV @FaZeClan @ChampionUSA @Banks @enolagayepyro damn bro what vape you got	0
Texass vape xbox 2 #rapenotgood	0
@Sylvesssterr She threw up Vape Life for the Gang. 🤣🤣🤣🤣🤣, they gonna box the whip and have sex 🤣😂	0
ill quit hitting my juul when people stop aggravating the FUCK out me.	0
Coming up next on CCTV's public channel (Comcast8/Verizon43) 6/24/2019 3:10:04 AM: Norfolk County Prevention Coalition on Vaping May2019	0
@GroverNorquist Banning baking shoots not kill those jobs. Those jobs do not require vaping.	0
@BRWN_EYEGURL It really looks nice . I love it down there too!!!! Lmaooo at hookah	0
UGHHH if ur gonA HAVE OFFbrand juul FREAKING pods WARN A BITCH be4 I order it on FREAKING Postmates	0
My car is full of juul pods and Taco Bell sauces	0
I Love Hookah but that shit be a bitch to clean.	0
@Hiiiiii74 @projectxpatriot @greshstart @CDCTobaccoFree Please name the “chemicals.” Vaping 10 years and making my own eliquid for 9 of those, I’d like to compare my ingredients with what you have down	1
If underage Juul use is such a big problem in America, why dont they just lower the legal maximum nicotine content for all E-Juices like they have in the EU? 🤦🏽‍♂️ Not even a 20 year cigarette smoker needs 40+ mg to make the switch to E-cigs... @JUULvapor @Surgeon_General	-1
If cigarette companies can't advertise on TV I truly believe Vape companies should be barred as well... Just because you added a battery doesn't make it any less dangerous....	-1
my cousins dad got me a vape	0
@C0urtneyg0rd0n2 bout to do the same with my juul smh	0
In the middle of a first degree murder sentencing (yes I lost) and my mother is texting me about the dangers of vaping and friggin popcorn lung. Need to work on boundaries.	0
@isitastranger sending u virtual vape clouds	0
@_jhezze @ExchangeLA Be careful tho. Because one time I was allowed in with my hat and vape. Next time no hat and no vape was allowed.	0
My friend couldn’t bring his vape in so now I’m alone at the dayclub who’s ready for some social anxiety tweets	0
QT @_anettt_: Anet after taking 5 hits ; I think I’ve had enough hookah for the rest of my life	0
Start your week off right with 10% off all Vape Cartridges and Batteries.	0
Just saw ray walking to St. Thomas holding and smoking a whole hookah. Man it’s good to be back in Waterford	0
@InsidePMI @BBCNews @sfgov What percentage of former cigarette smokers who become e-cigarette smokers eventually quit smoking entirely? What percentage revert back or become dual users?	0
@JayPizzle88 @officialmcafee @money_alotta That’s fucking awesome. I have trouble drawing stick people and artwork I’ve tried to produce on a computer involves several hours, f bombs, exhausted JUUL cartridges, and booze back when I drank and that is doing something as simple as photo shopping Johns head into a meme	0
I’ve been using some version of #ecig since 2011... we’ve owned a juice and boxmod company, sold it to a bigger co. I’m #burnedout with the #coils and #cotton and making or buying juice.	0
Anywhere you work theres always one vaping coworker that dyes their hair	0
I’ll be at La Hookah Town on Vernor in SW Detroit tomorrow hosting my first event 🤟 Vlogging the entire night. If your free come out and support 💨⚡️🖤	1
I feel so much better since I’ve been on Herbalife. & I quit smoking my Mod , I haven’t smoked in like 3 weeks, & I was vaping 3 yrs	-1
@anulikesstars LE VAPE SHOP!!!!!! I AM OBSESSED. Is it a "le juul"? pls say yes/ pls inquire for me	1
QT @destinnybrownn: Same 🥴 ; I literally need to start taping my juul to my forehead bc this little hoe be hiding😡	0
QT @_malyxo: he do be cappin for the bird ; I promise you guys kylers the sweetest little ting IN PERSON online he’s an asshole but at meets he just smiles and smokes hookah	0
@Saint_Grobian beef jerky flavored vape cartridges	0
This hookah hitting so coo It’s crazy	1
You ever just hit your juul upside down? Cuz same	0
Can you bring a vape pen on the plane?	0
@asvpxpatrick @faithyangelz Just vape lmao no nicotine	0
2019 is so fucked. The earth is dying, im in kuwait, OJ is on twitter, my mom owns a juul, whataburger gettin pimped out, schlitterbahn gone, can the simulation cut me a fucKING BREAK PLEASE	-1
Really wanna go smoke some hookah	0
Someone buy this damn juul since i can’t use it anymore ☹️	0
QT @ZoeyHertz: i dont have a juul but does this apply to thc pens as well? 😩 ; I have been juuling for 2 years and now I have pre oral cancer. So stop juuling kids lol	-1
Bold of you to assume I wanna smell your vape cloud	0
QT @truthorange: Your ads make me wanna start vaping out of spite ; Let's just say it's a lot harder to keep that inside stuff inside of you when you vape.	0
Austin just walked in and traded the dap pen for the juul and just dipped w out a word😂😂😂 clutch	0
@DREWWESS @KHOU They are or they’re They are still breaking the law Vaping is also a health hazard.	-1
Where y’all buy them hookah pens? I’m tryna but my bestie one.	0
QT @EwdatsGROSS: please stop i’m calling the police ; A juul My pussy 🤝 You can hit it	0
@StefanDidak That's just sad. I knew that SF had a drug problem, but that's just straight up absurd. All the more so that they decided a vaping ban would be beneficial, rather than tackling that!	1
QT @DylDuplechain: This right here !!! ; why you gonna waste you money on juul pods of you cant even inhale the juul?	1
QT @bshj__: Making throat cancer a social experience ; What’s the purpose of hookah??	-1
2016-18 hookah was always a motive 🤦🏽‍♂️	0
It’s always the ones with the big butts that can’t dance in the club. Para que tienen 🍑, just to show off and smoke hookah. Smh 🤦🏽‍♂️	0
holy shit I left my juul in my jeans when I was washing them but I saved it just in time half way through the wash. God really does exsist. SHEEEESH	0
Driving a challenger and smoking strawberry jelly donut vape juice.. hide ya girl 👀	0
“ i don’t Juul, I don’t do cocaine but I use straws OK”	0
atl done turned me to hookah thot 😂	0
Woke up today, drank some coffee, hit my juul, figured out that pigeon racing is a huge thing in China.. regular old Saturday..	0
I’m gonna have to stick up on Juul pods before I go back to California I’m 20 but the smoking age is 21 oof	1
I need a new data plan on my juul	0
@BLUNTxBurner420 🙌🙌🙌🙌 FuCk DrInKiNg AlChoHol WhEn We CaN vApE iT!!!	0
The family that vapes together stays together, clearly.	1
10 min into cleaning my room and I found my juul charger 💅	0
nothing like a post-coital juul	1
MOM DID YOU TAKE MY JUUL	0
@amberbloedel Juul has been 21 and up for quite some time now.... it’s their policy if a shoo is caught selling to minors they won’t distribute to them anymore. Sept. All of Texas will be Tobacco 21+, but vapes will be 18+ unless the company policy is different	-1
hookah >>>>	0
@Sun_Daze_11 I wish someone backed me up when I tried to call someone out about vaping in my section last season. The usher said they didn’t see it.	-1
QT @katebyrnepower: That’s just chicago, baby ; Currently browsing the Logan square monument for my friend’s juul that she lost while making out with a stranger that she met at the owl........Easy could never	0
nobody: my brain: hit ur juul	0
@NewYorker @jiatolentino Can’t vape, but you can poop anywhere at your leisure.	0
anyone else who doesn't care about spending time with their father wanna go to hookah tonight!	0
forbidden lovers: lip gloss, my vape	0
simply due to my CBGa allergy. No one will have fun if I swell up like a puffer fish and have to go to the ER. Vape blends/oils without are perfectly fine provided you share 😘 also while there will be alcohol present, I will only allow one drink/flight at the brewery. SSC is key	0
@LivinginWhy Gotta go what ever creature you are, like me all trump supporters have businesses jobs etc , So it's time to go to bed and get up and work now go vape take some money out of your mom's wallet and go buy a pop good night loser	0
@HillaryClinton Anyone here into guns? Vaping?	0
YOOOO I JUS CAUGHT MY BROTHER WIT A JUUL IM FINNA BEAT THE SHIT OUTTA HIS ASS	-1
I think I just heard my husband ask “what is your favorite vape” in the other room so I guess I don’t know who he is anymore.	-1
@MarlenaRodrigz I have 3 half empty cartridges and nothing to help me heat them up and suck smoke out of it. I ordered a nice big vape pen so I won’t keep losing them but I’m sober and irritable. Arg.	0
i completely HATE when people try to one up you on a shitty home life or bad situations. I’ve SEEN bad home lives and I’ve witnessed the conscious and subconscious trauma and pain a child goes through and trust me your mom taking away your juul isn’t the same	-1
QT @MeGustaJoshua: I feel attacked. ; My stomach is killing me this morning Its almost as if Iced Coffee and Juul is not a meal replacement	0
@_Simbasworld I can't believe in this day and age people are still smoking cancer sticks when they could be smoking or vaping trees 🤷‍♀️	1
My juul friends.. where’s the cheapest place to buy a juul. I lost mine and I’m not trying to be dumb and spend $75 on one again from a vape shop.	1
@IamBroony Don’t vape live longer	-1
QT @MsMeowkinz: Lmfaaaoooooooo yoooo I remember the days🥴🥴🥴 ; smoked mad hookah this weekend, I sound like Tracy Morgan today 🥴	0
“I go to the bathroom every 2 hours so I can hit my juul”	0
i made fun of people who vape for so long until they made a usb stick that curbs my desire to eat toothpaste	-1
@ItsAllAboutDe #VapeLyfe	0
@lachlan hate/rape/vape is Akin's version of "wake/bake/skate," perhaps	0
Hey Wind Vapes thanks for the follow!	0
remember kids next month is no juul july. can you go the whole month without hitting your juul 😳	-1
@neamhrialta If you own a juul this birthday should probably be your last	-1
Time to vibe to some music and have a good vape session 👌🏾😌	0
Lol I think about vaping again all the time but I know I’m not financially stable enough to be addicted to nicotine.🤦🏾‍♂️😭	0
QT @ayyebabygirl_: On God fr fr ; A paint and sip class, poetry slams, picnics in the park, cooking classes, wine tasting, hookah lounges, hiking, camping, road trips... ALL DATE IDEAS ID LOVE TO EXPERIENCE ❤️	1
So my vape keeps saying "check batteries" everytime I try to hit it Like I haven't had a cigarette in over 2 months don't do this to me now :/	0
“Keeley you got $30 I can borrow?” “No, why?” “oh someone’s selling their JUUL & I thought about buying it”-@KendalQuillen	0
QT @ZoeyHertz: v happy that i lost my juul for 6 months and it doesn’t work now ; I have been juuling for 2 years and now I have pre oral cancer. So stop juuling kids lol	-1
@ISDM27 Me after a cbd vape hit	0
me and aspen have matching vapes..	0
@MenlionD U so fucking dirty for that lmao. Vaping is nasty and the loads of nicotine in it. You should try a wax pen next time . The stuff is weed rolled up in a pen.	-1
The city of San Francisco has become the first city to BAN e-cigarettes. And the market leader, “Juul” is based in San Francisco...I like where this is going 😊	0
QT @ItsSnowBeatz: 😂😭 ; This nigga Karlous said girls who smoke hookah pussy taste like volcano dust..DAWG😂😂	0
QT @ScottGottliebMD: What did you do as FDA Commissioner to encourage this option? You could've called Mitch Zeller during any day of your tenure and told him to get working on this option. ; Vapes should seek to separate from products like JUUL to establish potential to help adults. Also, e-cig makers who don’t suffer JUULs youth affliction should consider OTC pathway as option to secure market approval. There are options for small vape stores that target only adults	1
@PatriotMichaelO Hey Michael, Yes we’re so sorry for the delay we should have these kinks worked out very soon. Thanks so so much for your support. What MG do you vape?	0
@randall__hill I have a vape so it makes it even worse🤣	0
What is the point of hookah fr ?	0
@DENlM_DADDY get a fucking vape loser	-1
Alex literally lost his juul last night... we went to Qt rn and they had it. 💯	0
i wish i had friends, to smoke hookah with😢🙄.	0
My bed is calling me... this rain not it lol I wanted hookah or a drink but fuck it	0
@TREESVlNYL *blows vape smoke trying to be cool* *brother ruins it by blowing it away* “ADAM”	0
some juul pods be like snap crackle pop	0
QT @FreshOj24: LMFAOOOOOOOOOO Im glad you know ; Dominican niggas from DR don’t know how to pass the hookah.	0
@aptly_engineerd first there was juul now there is pussay, the only vape stick made with authentic vaginal mucus it will get you On	1
If you had a dollar for everytime you open a snap theres a fat bitch twerking or hella hookah smoke how much money would you have	0
@baha100 They can lie. So they do. Meanwhile, vape companies are not allowed to tell the truth - that vaping is vastly safer than smoking...	1
Random cute girl approached me but saw me vaping so she asked someone else for a lighter. This isn’t the first time this happened to me... I shall carry a lighter at all times 🤔	0
Lmfaoooooo 20$ dollar Hookah ????? How much for a re-fill? 5 DOLLARSSS ?? Lmfaooo 😂😂😂😂😂😂😂😂😂	0
@BleacherReport @Sportsnet Someone should teach No 2 how to smoke a cigar @RealSkipBayless @Zico31700472 @RPZADO @YvesGWM @fanintoronto guess they didn’t expect the win so they didn’t practice this part - he is smoking a cigar like he is smoking a Hookah @nabilabouhabib	0
I love my vape pen. Baked like a potato. Totally a stoner yo! 🌬🌿🍃	0
QT @demithacreator: Shisha ; What do smoke? Weed, SK, Arizona or Loud?	0
i once saw 8-9 girls join in union over one juul pod no cap	0
Anybody ever use coconut water in they hookah ?	0
I might be stupid but I’m not stupid enough to own a juul	-1
Me smoking a juul and drinking tequila in the bathroom of the jitney-the young Bitch ride clean don’t it!	0
QT @JoshDuckBurton: I think Yang should rock a Hawaiian shirt and rip a Juul during the next segment #DemDebate #YangGang2020 ; I’m surprised Yang hasn’t leaned backed and ripped a fat Juul while not wearing a tie and says “yeah, bro.” #DemDebate2 #DemocraticDebate	0
QT @amoeffner19: i took it home today 🥴 ; there’s a juul sitting in the office at work and i’m the only manager that smokes them so it must be mine right??? should i grab it???	0
@JaiTheGuy3 My school smells like vape and marijuana all the time LOL	0
QT @ARPdidTHAT: @RachelKathryn__ 🙄🙄 clocked ; White Claw is just Juul water.	0
@brandonco4 Juul idc but people who smoke cigarettes in traffic are assholes. Forcing me to put my AC on the button that makes it recycle the inside air? Die screaming motherfucker.	0
if you smoke virginia tobacco flavored juul pods i’m just gonna go ahead and assume you smoke crack also	-1
Female bathroom attendants generally don’t seem to yell at you for vaping so based on that I believe we need more women in office	0
i still can’t believe they took my full pack of cigs, lighter, AND my goddamn juul going through security...i’m honestly more mad about that than anything else wtf	0
good hookah lounges in atlanta?	0
QT @sardashhhhhhhhh: I don't juul but love the optimism ; if the juul doth crackle...big problems we tackle	-1
@DrBobBullard Ugh! Juul does more then just rhyme with KOOL. (SMH)	0
@zookepermusic @DillonFrancis Now u can’t be vaping enough😤	0
So tonight at work a coworker stole my vape mod. That thing was over $100... I’m so disappointed in humans.	0
hookah and drinks errday	0
Carts/vapes are trash. I’d rather just roll up	-1
Hampton beach and Hookah, i’m w it😛	0
I have saved a shit ton of money already switching to a Juul and also I don’t reek of cigarettes. I’ve had 2 cigarettes in the past 4 days and the week before it took me an entire week to smoke one pack. daddy is living.	1
QT @ARPdidTHAT: I feel attacked ; White Claw is just Juul water.	0
“Is your teenager irrational and moody, like every teenager in the entire history of the human species? It must be that newfangled vaping!”	0
Starting July 1, all Walmart and Sam's Club locations will increase the minimum age for tobacco purchases to 21. The retailers will also stop selling the fruit-flavored vaping systems popular with teenagers. Will other companies follow suit? Read more via @USAToday.	0
People are fucking fiends now days, i could put a hit on someone for a Juul pod	0
QT @NessaTabasco: 🤢🤢 ; Son how did i lose my juul last night	0
@meetdosist @ShopMedMen I tried the Calm first as I have some lung damage from lupus and wasn't sure I'd be able to vape successfully. Now that I know I can, I plan to go back for the relief one for bedtime use. The MedMen rep was really helpful. PS: my cat LOVES the smell. LOL	1
QT @massisays_: Same but I’m also the hookah hogger ; I hate hookah hoggers	0
QT @johngraycpa: Dumbest tweet of the day? ; Wait a minute. Muslims in NE who own “Hookah” bars are NOT required to sell alcohol because alcohol is against their religious beliefs but Christian bakers in NE must bake cakes for LGBTQ even though it’s against THEIR religious beliefs? No dbl standard or discrimination there?	0
@kyli_schmitt11 Someone literally stopped me yesterday to ask me for a hit of a vape, it was kinda sad tbh. I don’t drink coffee or soda so when I have caffeine I’m wired	0
Woke up, looking for my vape pen. Found a cigarette instead with a hole in it. I fixed it with a piece of a Zig Zag paper. Just to let you all know how resourceful/borderline I really am.	0
“Are you vaping in the house?” “No it’s just fabreeze!!”	0
